State,Avg_Delivery,Avg_Review,Orders,Revenue,Country
AC,19.2,4.18,76,23408.88,Brazil
AL,23.5,3.84,387,104650.72,Brazil
AM,25.1,4.14,142,32942.3,Brazil
AP,23.6,4.24,65,20941.25,Brazil
BA,18.2,3.88,3161,743745.85,Brazil
CE,19.5,3.91,1240,321681.87,Brazil
DF,12.4,4.06,2039,414953.51,Brazil
ES,14.7,4.02,1945,381597.99,Brazil
GO,14.6,4.05,1897,433735.26,Brazil
MA,20.7,3.77,699,191375.04,Brazil
MG,11.4,4.12,11106,2233435.67,Brazil
MS,15.1,4.07,690,161670.37,Brazil
MT,17.3,4.01,866,247999.56,Brazil
PA,22.4,3.85,906,231160.62,Brazil
PB,19.8,4.04,501,171043.3,Brazil
PE,17.4,4.04,1553,351005.05,Brazil
PI,18.1,3.97,460,130521.73,Brazil
PR,11.4,4.15,4826,1016883.22,Brazil
RJ,14.2,3.89,11943,2606673.21,Brazil
RN,18.3,4.13,461,112921.13,Brazil
RO,19.4,4.07,237,64232.67,Brazil
RR,22.2,4.0,36,10388.05,Brazil
RS,14.5,4.1,5238,1084955.37,Brazil
SC,14.3,4.05,3459,747937.0,Brazil
SE,19.8,3.91,329,82577.65,Brazil
SP,8.1,4.18,39652,7252848.53,Brazil
TO,17.0,4.15,270,70167.81999999999,Brazil
